id_city,City,County,State,Zip,Region,id_employee
42,Wells,Wells,KS,67488,Midwest,654617
43,Bartlett,Cook,IL,60103,Midwest,163409
44,Eldersville,Washington,PA,15036,Northeast,299088
45,Reelsville,Putnam,IN,46171,Midwest,961442
46,Perry Park,Owen,KY,40363,South,155097
47,Ventura,Ventura,CA,93003,West,976422
48,Hershey,Dauphin,PA,17033,Northeast,138911
49,Aberdeen,Brown,SD,57401,Midwest,160938
50,Hawley,Clay,MN,56549,Midwest,399707
51,Redondo,King,WA,98054,West,713294
52,Godeffroy,Orange,NY,12739,Northeast,627298
53,Donnybrook,Ward,ND,58734,Midwest,709884
54,Portland,Chautauqua,NY,14769,Northeast,932773
55,Ripplemead,Giles,VA,24150,South,796605
56,San Diego,San Diego,CA,92126,West,885395
57,Annandale,Fairfax,VA,22003,South,411503
58,Dallas,Dallas,TX,75224,South,622405
59,Orofino,Clearwater,ID,83544,West,233136
60,Mobile,Mobile,AL,36685,South,170637
61,Lowell,Marion,FL,32663,South,215719
62,Canton,Stark,OH,44750,Midwest,452163
63,Niverville,Columbia,NY,12130,Northeast,572204
64,Davenport,Polk,FL,33836,South,779517
65,Mount Eaton,Wayne,OH,44659,Midwest,844157
66,Cleveland,Cuyahoga,OH,44178,Midwest,312726
67,Fort Fairfield,Aroostook,ME,4742,Northeast,419549
68,Little Rock,Pulaski,AR,72231,South,505927
69,Union City,Fulton,GA,30291,South,526254
70,Clemson,Pickens,SC,29631,South,460226
71,Lee,Penobscot,ME,4455,Northeast,840113
72,Torbert,Pointe Coupee,LA,70781,South,432820
73,Powderhorn,Gunnison,CO,81243,West,957596
74,Garvin,McCurtain,OK,74736,South,530134
75,Laquey,Pulaski,MO,65534,Midwest,316372
76,Goehner,Seward,NE,68364,Midwest,501658
77,Dearing,McDuffie,GA,30808,South,147133
78,San Diego,San Diego,CA,92175,West,551149
79,Coahoma,Howard,TX,79511,South,595558
80,Saint Petersburg,Pinellas,FL,33734,South,637407
81,Springtown,Bucks,PA,18081,Northeast,597741
82,Attleboro Falls,Bristol,MA,2763,Northeast,403534
83,Silver Creek,Wright,MN,55380,Midwest,314661
84,Bassett,Kenosha,WI,53101,Midwest,317987
85,Washington,Washington,PA,15301,Northeast,820109
86,Custer,Yellowstone,MT,59024,West,388558
87,White Plains,Surry,NC,27031,South,403207
88,Walkerton,St. Joseph,IN,46574,Midwest,143711
89,Washington,District of Columbia,DC,20380,South,402180
90,Fairmount,Grant,IN,46928,Midwest,242388
91,Velpen,Pike,IN,47590,Midwest,819367
92,Toledo,Tama,IA,52342,Midwest,962291
93,Madison,Dane,WI,53718,Midwest,856379
94,Eldorado,Saline,IL,62930,Midwest,149972
95,Saranac Lake,Franklin,NY,12983,Northeast,174955
96,Pearl,Rankin,MS,39288,South,549389
97,Salina,Saline,KS,67402,Midwest,466832
98,Welchs Creek,Butler,KY,42287,South,203380
99,Mine Run,Mine Run,VA,22568,South,915991
100,Salem,Salem,OR,97317,West,289172
101,Holmes Beach,Manatee,FL,34218,South,914365
102,Hollywood,Broward,FL,33025,South,971242
103,Annville,Lebanon,PA,17003,Northeast,503248
104,Sturgis,Oktibbeha,MS,39769,South,521540
105,Athens,Fulton,IN,46912,Midwest,790395
106,Greencastle,Franklin,PA,17225,Northeast,734861
107,Winterset,Madison,IA,50273,Midwest,592815
108,Buffalo,Erie,NY,14272,Northeast,556008
109,Bostwick,Morgan,GA,30623,South,888597
110,Brea,Orange,CA,92821,West,946550
111,Chester Springs,Chester,PA,19425,Northeast,438869
112,Clearview,Clearview,OK,74835,South,685600
113,Rock Spring,Walker,GA,30739,South,829901
114,Trona,San Bernardino,CA,93562,West,354626
115,Sterling,Sterling,VA,22170,South,296454
116,Creswell,Washington,NC,27928,South,867400
117,Casanova,Casanova,VA,22017,South,354161
118,Ames,Dodge,NE,68621,Midwest,906193
119,South Lake Tahoe,El Dorado,CA,96152,West,602041
120,Richardson,Dallas,TX,75080,South,514224
121,Portland,Multnomah,OR,97233,West,834046
122,Hancock,Addison,VT,5748,Northeast,538803
123,Wardsboro,Windham,VT,5355,Northeast,487412
124,North Newton,Harvey,KS,67117,Midwest,286281
125,Lelia Lake,Donley,TX,79240,South,788924
126,South Beach,Lincoln,OR,97366,West,416576
127,Lowndesville,Abbeville,SC,29659,South,960215
128,Wichita,Sedgwick,KS,67217,Midwest,549513
129,Midkiff,Lincoln,WV,25540,South,509864
130,Dallas,Dallas,TX,75210,South,832966
131,Adkins,Bexar,TX,78101,South,306746
132,Highland,Doniphan,KS,66035,Midwest,945031
133,San Jose,Santa Clara,CA,95196,West,684637
134,Tonasket,Okanogan,WA,98855,West,891328
135,Richmond,Contra Costa,CA,94850,West,383614
136,Amarillo,Potter,TX,79103,South,180789
137,Monterey Park,Los Angeles,CA,91756,West,356050
138,Meridian,Lauderdale,MS,39305,South,185465
139,Pelzer,Anderson,SC,29669,South,687184
140,Barnes City,Mahaska,IA,50027,Midwest,489916
141,Cook Springs,St. Clair,AL,35052,South,435833
142,West Charleston,Orleans,VT,5872,Northeast,702411
143,Clayton,Norton,KS,67629,Midwest,645244
144,Munfordville,Hart,KY,42765,South,755710
145,Mountain View,Kiowa,OK,73062,South,329638
146,Alexandria,Fairfax,VA,22321,South,947428
147,Harris,Rutherford,NC,28074,South,353117
148,Waterloo,DeKalb,IN,46793,Midwest,525537
149,Garden City,Glasscock,TX,79739,South,117598
150,Mc Andrews,Pike,KY,41543,South,957898
151,Clearwater,Pinellas,FL,33758,South,643106
152,Boerne,Bexar,TX,78015,South,691376
153,New Lisbon,Juneau,WI,53950,Midwest,290435
154,South Bend,St. Joseph,IN,46612,Midwest,428318
155,Waukee,Dallas,IA,50263,Midwest,709493
156,Haxtun,Phillips,CO,80731,West,837051
157,Milesburg,Centre,PA,16853,Northeast,818907
158,Magee,Simpson,MS,39111,South,613084
159,Golden Gate,Wayne,IL,62843,Midwest,400205
160,Meadowview,Washington,VA,24361,South,363221
161,Farmingdale,Nassau,NY,11774,Northeast,445473
162,Dunreith,Henry,IN,47337,Midwest,229262
163,Denver,Denver,CO,80239,West,952927
164,Jal,Lea,NM,88252,West,723502
165,Mount Tremper,Ulster,NY,12457,Northeast,642626
166,Glendon,Glendon,NC,27251,South,470485
167,Sandgap,Jackson,KY,40481,South,620100
168,Ravensdale,King,WA,98051,West,771679
169,Springboro,Crawford,PA,16435,Northeast,904561
170,Manton,Wexford,MI,49663,Midwest,465279
171,Amanda Park,Grays Harbor,WA,98526,West,293923
172,Canoga Park,Los Angeles,CA,91305,West,331158
173,Nova,Ashland,OH,44859,Midwest,483286
174,Scaly Mountain,Macon,NC,28775,South,957621
175,Jackson,Hinds,MS,39232,South,464683
176,Miami,Miami-Dade,FL,33156,South,431073
177,Mio,Oscoda,MI,48647,Midwest,346953
178,Cheyenne,Laramie,WY,82010,West,209718
179,Milburn,Johnston,OK,73450,South,179094
180,Philadelphia,Philadelphia,PA,19193,Northeast,209065
181,Monterey,Berkshire,MA,1245,Northeast,915973
182,Gilbert,Searcy,AR,72636,South,793674
183,Wesson,Copiah,MS,39191,South,665291
184,Taunton,Lyon,MN,56291,Midwest,258503
185,San Francisco,San Francisco,CA,94126,West,910235
186,Hunter,Garfield,OK,74640,South,605376
187,Pismo Beach,San Luis Obispo,CA,93448,West,291167
188,Eugene,Lane,OR,97405,West,864600
189,Des Moines,Polk,IA,50339,Midwest,862997
190,Livermore,Alameda,CA,94550,West,989496
191,Harwood,Anne Arundel,MD,20776,South,411593
192,Brimfield,Hampden,MA,1010,Northeast,462737
193,Talcott,Summers,WV,24981,South,634772
194,Dunbar,Marinette,WI,54119,Midwest,864491
195,Campobello,Spartanburg,SC,29322,South,771200
196,Appleton,Swift,MN,56208,Midwest,541253
197,Houston,Harris,TX,77205,South,704999
198,Clark,Mercer,PA,16113,Northeast,847603
199,Port Edwards,Wood,WI,54469,Midwest,462706
200,Scottsdale,Maricopa,AZ,85258,West,988654
201,Dover Afb,Kent,DE,19902,South,130373
202,Carlisle,Sullivan,IN,47838,Midwest,490970
203,Pingree,Stutsman,ND,58476,Midwest,885253
204,Neeses,Orangeburg,SC,29107,South,996402
205,Monango,Monango,ND,58471,Midwest,947623
206,Chicago,Cook,IL,60701,Midwest,184402
207,Boone,Watauga,NC,28607,South,924964
208,South Milford,LaGrange,IN,46786,Midwest,183909
209,Milwaukee,Milwaukee,WI,53235,Midwest,354069
210,Clearmont,Sheridan,WY,82835,West,613719
211,Clyde,Nodaway,MO,64432,Midwest,357718
212,Bankston,Fayette,AL,35542,South,834650
213,Keithville,Caddo,LA,71047,South,888177
214,Shawnee Mission,Johnson,KS,66223,Midwest,663522
215,Masontown,Fayette,PA,15461,Northeast,807484
216,Albany,Albany,NY,12242,Northeast,576715
217,Morganza,St. Mary's,MD,20660,South,387891
218,Berkeley,Alameda,CA,94709,West,875533
219,Broken Arrow,Wagoner,OK,74014,South,704654
220,Towaoc,Montezuma,CO,81334,West,396706
221,Tilden,Randolph,IL,62292,Midwest,837859
222,San Rafael,Marin,CA,94912,West,906924
223,Oxford,Chester,PA,19363,Northeast,244379
224,Boston,Suffolk,MA,2205,Northeast,431394
225,Germantown,Montgomery,MD,20875,South,549982
226,Wagner,Charles Mix,SD,57380,Midwest,766429
227,Menasha,Winnebago,WI,54952,Midwest,344898
228,Lakeville,Oakland,MI,48366,Midwest,426061
229,Burfordville,Cape Girardeau,MO,63739,Midwest,788422
230,Walhalla,Oconee,SC,29691,South,494903
231,Salem,Doña Ana,NM,87941,West,939209
232,Round Rock,Williamson,TX,78683,South,415047
233,Lyndora,Butler,PA,16045,Northeast,172373
234,Thompson,Audrain,MO,65285,Midwest,956982
235,Bradenton,Manatee,FL,34280,South,377842
236,Parkin,Cross,AR,72373,South,735648
237,El Dorado,El Dorado,CA,95623,West,856621
238,Mount Auburn,Christian,IL,62547,Midwest,410532
239,Louisville,Jefferson,KY,40250,South,387199
240,Tucker,DeKalb,GA,30085,South,486442
241,Shawnee Mission,Johnson,KS,66219,Midwest,712096
242,Inverness,Citrus,FL,34452,South,187207
243,Dallas,Dallas,TX,75203,South,583435
244,Helena,Phillips,AR,72342,South,652292
245,Willow Grove,Montgomery,PA,19090,Northeast,839764
246,Exton,Chester,PA,19341,Northeast,817441
247,Morton,Scott,MS,39117,South,319686
248,Sykeston,Wells,ND,58486,Midwest,340456
249,Wellsville,Montgomery,MO,63384,Midwest,862292
250,Oak Grove,West Carroll,LA,71263,South,155455
251,Printer,Floyd,KY,41655,South,755512
252,Bismarck,Burleigh,ND,58503,Midwest,350036
253,Las Vegas,Clark,NV,89122,West,660160
254,Mason,Grant,KY,41054,South,615367
255,Arvada,Jefferson,CO,80004,West,926340
256,Northome,Koochiching,MN,56661,Midwest,741414
257,Bay Village,Cuyahoga,OH,44140,Midwest,552215
258,Switzer,Logan,WV,25647,South,629523
259,Montrose,Los Angeles,CA,91020,West,257355
260,Oconto,Custer,NE,68860,Midwest,405704
261,Amarillo,Potter,TX,79174,South,809563
262,Long Island,Cumberland,ME,4050,Northeast,551274
263,Fruitvale,Van Zandt,TX,75127,South,410721
264,Allen,Floyd,KY,41601,South,411970
265,Commerce,Hunt,TX,75429,South,502786
266,Golden,Jefferson,CO,80402,West,779981
267,Corpus Christi,Nueces,TX,78414,South,243913
268,Battletown,Meade,KY,40104,South,465563
269,Ludowici,Long,GA,31316,South,126947
270,Spanaway,Pierce,WA,98387,West,997123
271,Rosiclare,Hardin,IL,62982,Midwest,768053
272,Emigrant,Park,MT,59027,West,922004
273,Mount Vernon,Lawrence,MO,65712,Midwest,893257
274,Kingfield,Franklin,ME,4947,Northeast,513516
275,Washington,District of Columbia,DC,20003,South,550688
276,Norfolk,Norfolk (city),VA,23515,South,578658
277,Celina,Clay,TN,38551,South,687401
278,Roma,Starr,TX,78584,South,616542
279,Herron,Alpena,MI,49744,Midwest,229674
280,Dora,Ozark,MO,65637,Midwest,910839
281,Ellicott City,Howard,MD,21041,South,916771
282,Bulls Gap,Hawkins,TN,37711,South,917366
283,Winterville,Aroostook,ME,4788,Northeast,138184
284,Stotts City,Lawrence,MO,65756,Midwest,752368
285,Albany,Albany,NY,12214,Northeast,246567
286,Woodbury,Litchfield,CT,6798,Northeast,364826
287,Slayden,Dickson,TN,37165,South,818588
288,Monroeton,Bradford,PA,18832,Northeast,976130
289,River Ranch,Polk,FL,33867,South,113693
290,Pattison,Claiborne,MS,39144,South,259326
291,Frankfort,Franklin,KY,40604,South,203015
292,Gainesville,Alachua,FL,32611,South,507960
293,North Bloomfield,Trumbull,OH,44450,Midwest,685086
294,Pilgrims Knob,Buchanan,VA,24634,South,377827
295,Hookerton,Greene,NC,28538,South,793908
296,Grand Forks,Grand Forks,ND,58203,Midwest,562756
297,Aldenville,Wayne,PA,18401,Northeast,593831
298,Algonquin,McHenry,IL,60102,Midwest,654413
299,Saint Petersburg,Pinellas,FL,33715,South,177908
300,Oldfield,Christian,MO,65720,Midwest,213923
301,Macomb,Macomb,MI,48042,Midwest,453046
302,Cubero,Cibola,NM,87014,West,416395
303,Pecks Mill,Logan,WV,25547,South,428638
304,Interlochen,Grand Traverse,MI,49643,Midwest,185040
305,Springfield,Greene,MO,65804,Midwest,369773
306,Madison Lake,Blue Earth,MN,56063,Midwest,509313
307,Ucon,Bonneville,ID,83454,West,842810
308,Bowman,Orangeburg,SC,29018,South,641526
309,White Oak,Raleigh,WV,25989,South,347756
310,Brunsville,Plymouth,IA,51008,Midwest,310825
311,Augusta,Richmond,GA,30914,South,676338
312,Hodgenville,Larue,KY,42748,South,982306
313,Redwood City,San Mateo,CA,94065,West,912439
314,Sugar Land,Fort Bend,TX,77479,South,300153
315,Bremerton,Kitsap,WA,98310,West,324892
316,Hamletsburg,Pope,IL,62944,Midwest,742590
317,Amber,Grady,OK,73004,South,402636
318,Spencer,Boyd,NE,68777,Midwest,405301
319,Lansing,Ingham,MI,48937,Midwest,948900
320,Mesquite,Clark,NV,89027,West,718875
321,Valley Home,Valley Home,CA,95384,West,484415
322,Bledsoe,Cochran,TX,79314,South,350283
323,Oklahoma City,Oklahoma,OK,73114,South,765212
324,Miami,Miami-Dade,FL,33166,South,760606
325,Islesford,Hancock,ME,4646,Northeast,331661
326,Sacramento,Sacramento,CA,95864,West,224563
327,Vernal,Uintah,UT,84079,West,449882
328,Brinkley,Brinkley,KY,41805,South,450738
329,Taloga,Dewey,OK,73667,South,806622
330,Pottstown,Montgomery,PA,19464,Northeast,385833
331,Basalt,Bingham,ID,83218,West,897397
332,Elizabeth,Allegheny,PA,15037,Northeast,862696
333,Houston,Harris,TX,77226,South,696128
334,Versailles,Woodford,KY,40383,South,396732
335,Ettrick,Trempealeau,WI,54627,Midwest,525550
336,Whitleyville,Jackson,TN,38588,South,391646
337,Memphis,Shelby,TN,38159,South,869042
338,Hollytree,Jackson,AL,35751,South,265358
339,Washington,Hempstead,AR,71862,South,868673
340,Paterson,Passaic,NJ,7510,Northeast,626383
341,Cardin,Ottawa,OK,74335,South,150291
342,Coyanosa,Pecos,TX,79730,South,138191
343,Waterflow,San Juan,NM,87421,West,321519
344,Rosalia,Whitman,WA,99170,West,776039
345,Reidsville,Rockingham,NC,27320,South,121192
346,West Des Moines,Polk,IA,50265,Midwest,348481
347,Antimony,Garfield,UT,84712,West,156143
348,Memphis,Shelby,TN,38173,South,986792
349,Bruington,King and Queen,VA,23023,South,567275
350,Nowata,Nowata,OK,74048,South,441872
351,Raleigh,Wake,NC,27601,South,247716
352,Dallas Center,Dallas,IA,50063,Midwest,707951
353,Lemoore,Kings,CA,93246,West,749500
354,Mountain Pine,Garland,AR,71956,South,302532
355,Elgin,Wabasha,MN,55932,Midwest,554841
356,Detour,Detour,MD,21725,South,341481
357,Waterloo,Black Hawk,IA,50702,Midwest,406419
358,Henderson,Clark,NV,89015,West,548138
359,Altoona,Eau Claire,WI,54720,Midwest,613380
360,Bay Port,Huron,MI,48720,Midwest,668685
361,Holcomb,Grenada,MS,38940,South,805231
362,Desert Center,Riverside,CA,92239,West,765983
363,Floyd,Floyd,IA,50435,Midwest,383673
364,Orange,Orange,CA,92859,West,308543
365,San Diego,San Diego,CA,92152,West,811224
366,Americus,Sumter,GA,31719,South,637979
367,Ponca City,Kay,OK,74604,South,431097
368,Lockbourne,Pickaway,OH,43137,Midwest,509371
369,Honomu,Hawaii,HI,96728,West,290554
370,Pattonsburg,Daviess,MO,64670,Midwest,398989
371,Groveton,Coos,NH,3582,Northeast,551061
372,Bolingbroke,Monroe,GA,31004,South,384939
373,Richey,Dawson,MT,59259,West,179692
374,Weymouth,Norfolk,MA,2190,Northeast,628495
375,Hudson,Penobscot,ME,4449,Northeast,394010
376,Polk City,Polk,FL,33868,South,372801
377,Lexington,Davidson,NC,27292,South,486707
378,Flint,Smith,TX,75762,South,312646
379,Langford,Marshall,SD,57454,Midwest,581520
380,Warfield,Martin,KY,41267,South,701494
381,Saum,Saum,MN,56674,Midwest,617343
382,Somerset Center,Hillsdale,MI,49282,Midwest,653595
383,Decatur,Morgan,AL,35602,South,248995
384,Waterbury,New Haven,CT,6708,Northeast,739214
385,Murray,Calloway,KY,42071,South,939293
386,Minneola,Clark,KS,67865,Midwest,382405
387,Riverdale,Prince George's,MD,20737,South,978581
388,Julian,Boone,WV,25529,South,802411
389,Columbiana,Columbiana,OH,44408,Midwest,438290
390,North River,Warren,NY,12856,Northeast,375215
391,Grady,Curry,NM,88120,West,419637
392,Lander,Fremont,WY,82520,West,887447
393,Freeport,Stearns,MN,56331,Midwest,736349
394,Milton,Sumner,KS,67106,Midwest,710423
395,Corunna,Shiawassee,MI,48817,Midwest,392529
396,Vancouver,Clark,WA,98665,West,922113
397,Adams,Berkshire,MA,1220,Northeast,994548
398,Kenner,Kenner,LA,70097,South,849237
399,Tavernier,Monroe,FL,33070,South,124742
400,Nashua,Hillsborough,NH,3061,Northeast,612842
401,Meyersdale,Somerset,PA,15552,Northeast,149140
402,Redford,Reynolds,MO,63665,Midwest,927344
403,Salinas,Monterey,CA,93902,West,375880
404,Plum City,Pierce,WI,54761,Midwest,403048
405,Johnsonville,Wayne,IL,62850,Midwest,258773
406,Saranac,Clinton,NY,12981,Northeast,673774
407,Elkhart,Elkhart,IN,46517,Midwest,875902
408,Evansville,Vanderburgh,IN,47711,Midwest,296157
409,Gladstone,Delta,MI,49837,Midwest,788810
410,Las Vegas,Clark,NV,89111,West,328375
411,Phoenix,Maricopa,AZ,85070,West,601554
412,San Ygnacio,Zapata,TX,78067,South,828621
413,Oconee,Shelby,IL,62553,Midwest,285385
414,Grace City,Foster,ND,58445,Midwest,556750
415,Endicott,Broome,NY,13760,Northeast,428798
416,Broad Brook,Hartford,CT,6016,Northeast,920890
417,Williamsport,Lycoming,PA,17703,Northeast,619908
418,Sunset,Montague,TX,76270,South,608086
419,Austin,Travis,TX,78748,South,887855
420,Payson,Gila,AZ,85541,West,593416
421,Dallas,Dallas,TX,75350,South,453240
422,Kiahsville,Wayne,WV,25534,South,333131
423,Horse Creek,Laramie,WY,82061,West,704255
424,New Church,Accomack,VA,23415,South,836272
425,Whitmore Lake,Washtenaw,MI,48189,Midwest,870724
426,Manchester,Hillsborough,NH,3111,Northeast,309197
427,Dixie,Brooks,GA,31629,South,868288
428,Lowgap,Surry,NC,27024,South,289702
429,Madison,Dane,WI,53704,Midwest,229399
430,Ary,Perry,KY,41712,South,409602
431,Saint Leo,Saint Leo,MN,56286,Midwest,926666
432,Mc Kinney,Lincoln,KY,40448,South,146904
433,Mannsville,Taylor,KY,42758,South,783011
434,Hampden,Hampden,MA,1036,Northeast,373115
435,Belhaven,Beaufort,NC,27810,South,829747
436,Town Creek,Lawrence,AL,35672,South,390136
437,Oatman,Mohave,AZ,86433,West,418115
438,Nichols,Outagamie,WI,54152,Midwest,595624
439,Wilsons,Dinwiddie,VA,23894,South,334312
440,Augusta,Kennebec,ME,4336,Northeast,693498
441,Kingman,Kingman,AZ,86409,West,612413
442,Wickhaven,Fayette,PA,15492,Northeast,477357
443,Brookston,St. Louis,MN,55711,Midwest,406344
444,Northville,Spink,SD,57465,Midwest,659040
445,Albany,Gentry,MO,64402,Midwest,393086
446,Westminster,Windham,VT,5158,Northeast,547881
447,Jefferson City,Cole,MO,65104,Midwest,401585
448,Brownsville,Union,IN,47325,Midwest,275099
449,Lonoke,Lonoke,AR,72086,South,295128
450,Post,Garza,TX,79356,South,368884
451,Hawk Run,Clearfield,PA,16840,Northeast,801641
452,Tuskegee,Macon,AL,36083,South,596849
453,Kermit,Winkler,TX,79745,South,319677
454,Fork,Dillon,SC,29543,South,214725
455,Evansville,Natrona,WY,82636,West,838989
456,Havertown,Delaware,PA,19083,Northeast,204641
457,Newport Beach,Orange,CA,92659,West,781241
458,Avon,Powell,MT,59713,West,308548
459,Wilmington,New Castle,DE,19887,South,788639
460,Oklahoma City,Cleveland,OK,73165,South,773441
461,Grizzly Flats,El Dorado,CA,95636,West,710473
462,Roberta,Crawford,GA,31078,South,280616
463,Gilbertsville,Marshall,KY,42044,South,926471
464,Huntsville,Madison,AL,35814,South,420058
465,Valle Crucis,Watauga,NC,28691,South,923618
466,Mount Pleasant,Gadsden,FL,32352,South,626643
467,Dallas,Dallas,TX,75253,South,709787
468,Revelo,McCreary,KY,42638,South,605917
469,Dille,Clay,WV,26617,South,203063
470,Metz,Marion,WV,26585,South,832795
471,Sheffield,Bureau,IL,61361,Midwest,846758
472,Washington,District of Columbia,DC,20241,South,817618
473,San Diego,San Diego,CA,92123,West,589012
474,Victor,San Joaquin,CA,95253,West,389576
475,Van Buren,Carter,MO,63965,Midwest,254755
476,Albany,Albany,NY,12248,Northeast,580822
477,West Bend,West Bend,WI,53096,Midwest,448922
478,Burlington,Calhoun,MI,49029,Midwest,916834
479,Tyler,Smith,TX,75702,South,352019
480,Trampas,Taos,NM,87576,West,807476
481,Fordland,Webster,MO,65652,Midwest,213620
482,Charlotte,Mecklenburg,NC,28280,South,510975
483,Spring Church,Armstrong,PA,15686,Northeast,682658
484,Dewar,Black Hawk,IA,50623,Midwest,920812
485,Morrisville,Madison,NY,13408,Northeast,335636
486,Montrose,Montrose,CO,81402,West,758862
487,Columbus,Warren,PA,16405,Northeast,986092
488,Ogallah,Trego,KS,67656,Midwest,647012
489,Pittsboro,Calhoun,MS,38951,South,358642
490,Arnett,Raleigh,WV,25007,South,640581
491,Larrabee,Cherokee,IA,51029,Midwest,822054
492,Maryville,Blount,TN,37801,South,875792
493,Portis,Osborne,KS,67474,Midwest,432229
494,Clovis,Curry,NM,88102,West,306701
495,Maine,Broome,NY,13802,Northeast,996381
496,Little Rock,Pulaski,AR,72207,South,376941
497,Ravenwood,Nodaway,MO,64479,Midwest,497576
498,Rancho Cucamonga,San Bernardino,CA,91730,West,182058
499,Union Church,Jefferson,MS,39668,South,489450
500,Ionia,Ontario,NY,14475,Northeast,318089
501,Gadsden,Etowah,AL,35905,South,301953
502,Montgomery,Montgomery,AL,36136,South,329907
503,Copenhagen,Lewis,NY,13626,Northeast,696295
504,Louisville,Jefferson,KY,40268,South,635271
505,Greenville,Augusta,VA,24440,South,315034
506,Hubert,Onslow,NC,28539,South,285675
507,Tatums,Carter,OK,73487,South,814002
508,Seattle,King,WA,98136,West,580274
509,Burbank,Los Angeles,CA,91523,West,863434
510,Manasota,Manatee,FL,34260,South,768022
511,Green Bay,Brown,WI,54344,Midwest,292052
512,Buffalo,Wright,MN,55313,Midwest,395472
513,Rio Vista,Johnson,TX,76093,South,669795
514,Eola,Concho,TX,76937,South,259749
515,West Farmington,Trumbull,OH,44491,Midwest,862228
516,Showell,Worcester,MD,21862,South,882209
517,Mount Moriah,Harrison,MO,64665,Midwest,840009
518,Huron,Lawrence,IN,47437,Midwest,413384
519,Fort Lauderdale,Broward,FL,33309,South,408482
520,Tampa,Hillsborough,FL,33633,South,666407
521,Peever,Roberts,SD,57257,Midwest,218533
522,Huslia,Yukon-Koyukuk (CA),AK,99746,West,973342
523,Birmingham,Birmingham,AL,35275,South,197578
524,Galesburg,Neosho,KS,66740,Midwest,669996
525,Mcallen,Hidalgo,TX,78502,South,539579
526,Levittown,Bucks,PA,19059,Northeast,125872
527,Burbank,Los Angeles,CA,91521,West,837426
528,Alexandria,Fairfax,VA,22315,South,235913
529,Donnelly,Valley,ID,83615,West,274339
530,Brooklyn,Kings,NY,11232,Northeast,512957
531,Malden,Bureau,IL,61337,Midwest,235415
532,Pawling,Dutchess,NY,12564,Northeast,586433
533,Lafayette,Tippecanoe,IN,47905,Midwest,255982
534,Linwood,Linwood,NJ,8227,Northeast,357307
535,Owensboro,Daviess,KY,42301,South,667859
536,Hereford,Deaf Smith,TX,79045,South,503729
537,Farmerville,Union,LA,71241,South,637992
538,Byron,Thayer,NE,68325,Midwest,809585
539,Columbus,Franklin,OH,43251,Midwest,960549
540,Brooklyn,Kings,NY,11209,Northeast,232646
541,Ovid,Ovid,ID,83260,West,741386
542,El Paso,El Paso,TX,79926,South,184514
543,New Haven,New Haven,CT,6504,Northeast,447090
544,Stratton,Kit Carson,CO,80836,West,272372
545,Waverly,Lee,AL,36879,South,901940
546,Stuart,Guthrie,IA,50250,Midwest,863659
547,Temecula,Riverside,CA,92593,West,482788
548,Peachtree City,Fayette,GA,30269,South,390321
549,Belvidere,Warren,NJ,7823,Northeast,984074
550,Mount Vision,Otsego,NY,13810,Northeast,420425
551,Sunnyvale,Santa Clara,CA,94090,West,847428
552,Riverside,Riverside,CA,92507,West,636027
553,Fremont,Alameda,CA,94538,West,894744
554,Washington,District of Columbia,DC,20539,South,745058
